id,site,      date,      month,year,PM2.5,PM10,SO2,CO,Ozone
1,site_301,1,1,2016,360.81,750.91,33.15,3.13,14.74
2,site_301,3,1,2016,341.32,651.71,22.83,2.57,15.67
3,site_301,5,1,2016,433.35,847.84,38.65,3.58,32.07
4,site_301,7,1,2016,468.02,743.11,34.02,3.39,27.8
5,site_301,9,1,2016,169.49,480.58,16.1,2.2,14.09
6,site_301,11,1,2016,413.43,681.95,22.66,3.13,46.76
7,site_301,13,1,2016,313.12,510.53,16.84,1.67,14.99
8,site_301,15,1,2016,182.75,345.29,13.33,1.22,10.86
9,site_301,17,1,2016,200.17,387.12,20.76,1.3,15.08
10,site_301,19,1,2016,322.07,566.42,13.02,1.38,9.67
11,site_301,21,1,2016,234.43,422.13,13.32,1.06,11.65
12,site_301,23,1,2016,361.85,551.53,16.98,1.51,15.65
13,site_301,25,1,2016,276.25,509.35,14.91,1.17,10.79
14,site_301,27,1,2016,332.5,533.48,18.54,1.7,15.12
15,site_301,29,1,2016,392.75,765.35,16.4,2.23,10.6
18,site_301,4,2,2016,144.67,372.2,22.09,1.79,31
19,site_301,6,2,2016,416.39,483.96,33.53,2.84,23.8
20,site_301,8,2,2016,117.7,214.62,22.73,1.39,17.7
21,site_301,10,2,2016,260.17,315.18,22.49,2.61,15.31
22,site_301,12,2,2016,193.58,334.17,63.04,1.91,23.33
23,site_301,14,2,2016,89.88,218.94,24.18,1.59,20.89
24,site_301,16,2,2016,139.89,179.63,26.01,1.79,17.05
25,site_301,18,2,2016,160.49,200.73,24.68,1.49,9.25
26,site_301,20,2,2016,192.44,277.04,22.26,1.96,13.38
27,site_301,22,2,2016,96.64,121.13,19.75,1.34,47.84
28,site_301,24,2,2016,79,351.67,12.16,1.1,5.08
31,site_301,1,3,2016,354.19,409,52.55,3.28,23.66
32,site_301,3,3,2016,212.29,293.66,44.54,1.84,23.43
34,site_301,7,3,2016,120.99,191.1,18.33,1.48,17.21
35,site_301,9,3,2016,87.8,291.04,17.88,0.77,37.66
39,site_301,17,3,2016,92.01,193.1,26.86,1.09,43.5
41,site_301,21,3,2016,66.11,209.79,24.64,1.66,29.68
42,site_301,23,3,2016,58.74,260.3,20.8,1.44,43.81
43,site_301,25,3,2016,86.09,282.93,44.04,1.98,26.02
45,site_301,29,3,2016,116,236.84,20.35,1.9,17.02
50,site_301,8,4,2016,107.12,225.77,80.25,1.97,23.36
51,site_301,10,4,2016,179.78,172.33,39.87,2.9,22.85
52,site_301,12,4,2016,55.28,299.65,18.04,1.05,23.76
53,site_301,14,4,2016,116.47,304.19,25.27,1.98,24.42
55,site_301,18,4,2016,121.37,342.39,23.45,1.22,10.86
56,site_301,20,4,2016,131.44,432.05,34.1,1,17.77
58,site_301,24,4,2016,39.13,292.67,10.52,0.53,120.77
59,site_301,26,4,2016,212.23,526.9,50.65,1.6,54.93
60,site_301,28,4,2016,263.81,580.17,45.84,2.2,46.48
63,site_301,4,5,2016,96.97,428.26,23.51,2.15,13.68
64,site_301,6,5,2016,64.67,302.13,19.07,1.73,16.54
65,site_301,8,5,2016,95.79,356.1,16.52,0.65,22.84
66,site_301,10,5,2016,76.78,330.21,8.57,1.12,21.31
67,site_301,12,5,2016,115.28,491.02,7.04,1.64,27.71
68,site_301,14,5,2016,140.07,498.35,12.4,2.07,39.6
69,site_301,16,5,2016,120.1,522.51,19.89,0.88,23.56
70,site_301,18,5,2016,120.38,521.83,18.84,2.22,60.39
71,site_301,20,5,2016,68.28,299.42,5.26,0.83,23.23
76,site_301,30,5,2016,98.41,284.26,7.18,1.16,34.63
77,site_301,1,6,2016,121.56,601.38,9.69,1.22,42.02
78,site_301,3,6,2016,246.9,570.93,15.03,1.86,74.84
79,site_301,5,6,2016,100.78,276.32,6.72,0.69,27.1
80,site_301,7,6,2016,97.51,284.59,10.45,1.11,28.73
81,site_301,9,6,2016,77.07,297.76,9.89,1.05,26.56
82,site_301,11,6,2016,98.74,512.21,13.91,1.33,27.27
83,site_301,13,6,2016,115.32,588.28,10.05,0.9,18.03
84,site_301,15,6,2016,110.91,513,11.05,0.72,15.42
85,site_301,17,6,2016,62.18,202.82,17.34,0.96,29.08
86,site_301,19,6,2016,58.83,162.6,13.4,0.88,6.8
87,site_301,21,6,2016,44.48,94.65,18.58,0.84,9.53
88,site_301,23,6,2016,72.27,210.1,9.95,1.27,19.71
89,site_301,25,6,2016,81.73,227.13,8.71,0.98,14.72
90,site_301,27,6,2016,64.22,166.18,8.76,1.12,14.57
91,site_301,29,6,2016,37.35,95.01,12.57,1.29,16.26
92,site_301,1,7,2016,56.7,214.34,8.8,1.46,12.2
93,site_301,3,7,2016,67.03,143.27,12.03,1.21,32.9
